NicolásRoman,NicolásRoman.mp3,NicolásRoman PITCH.mp3,Portada_NicolasRoman.jpg,gif_grande_NicolásRoman.gif,0.10,0.16,0.55,-0.37,0.02,0.97,0.32,0.81,0.19,0.37
AaronMaureira,AaronMaureira.mp3,Pitch_AaronMaureira.mp3,Portada_AaronMaureira.jpg,gif_grande_AaronMaureira.gif,0.85,0.82,0.80,0.50,0.30,0.81,0.94,-0.96,0.20,-0.44
AlbertoPérez,AlbertoPérez.mp3,Pitch_AlbertoPérez.mp3,Portada_Alberto.jpg,gif_grande_AlbertoPérez.gif,0.61,-0.94,0.03,0.47,0.56,0.69,0.09,0.79,0.07,-0.10
MartinaFernández,MartinaFernández.mp3,Pitch_MartinaFernández.mp3,Portada_MartinaFernandez.jpg,gif_grande_MartinaFernández.gif,0.48,0.61,0.09,-0.12,0.72,-0.04,0.61,0.82,0.42,-0.14
MaríaVillegas,MaríaVillegas.mp3,Pitch_MaríaVillegas.mp3,Portada_MariaVillegas.jpg,gif_grande_MariaVillegas.gif,0.25,0.81,0.91,-0.26,0.18,-0.37,0.25,-0.09,0.22,0.99
RenatoPeña,RenatoPeña.mp3,Pitch_RenatoPeña.mp3,Portada_RenatoPeña.jpg,gif_grande_RenatoPena.gif,0.18,-0.90,0.56,-0.10,0.08,-0.41,0.41,-0.22,0.53,-0.61
AlbertoEspinosa,AlbertoEspinosa.mp3,Pitch_AlbertoEspinosa.mp3,Portada_AlbertoEspinosa.jpg,gif_grande_AlbertoEspinosa.gif,0.00,0.68,0.84,-0.90,0.83,0.76,0.34,0.35,0.81,0.76
AgustinEspinosa,AgustinEspinosa.mp3,Pitch_AgustinEspinosa.mp3,Portada_AgustinEspinosa.jpg,gif_grande_AgustinEspinosa.gif,0.27,0.98,0.59,0.41,0.07,-0.10,0.69,-0.67,0.80,0.89
MillarayFreire,MillarayFreire.mp3,Pitch_MillarayFreire.mp3,Portada_MillarayFreire.jpg,gif_grande_MillarayFreire.gif,0.55,-0.37,0.02,0.97,0.32,0.81,0.19,0.37,0.10,0.16
EmilianoVillarroel,EmilianoVillarroel.mp3,Pitch_EmilianoVillarroel.mp3,Portada_EmilianoVillarroel.jpg,gif_grande_EmilianoVillarroel.gif,0.80,0.50,0.30,0.81,0.94,-0.96,0.20,-0.44,0.85,0.82
RafaelHernández,RafaelHernández.mp3,Pitch_RafaelHernández.mp3,Portada_RafaelHernández.jpg,gif_grande_RafaelHernández.gif,0.03,0.47,0.56,0.69,0.09,0.79,0.07,-0.10,0.61,-0.94
RodrigoSoto,RodrigoSoto.mp3,Pitch_RodrigoSoto.mp3,Portada_RodrigoSoto.jpg,gif_grande_RodrigoSoto.gif,0.09,-0.12,0.72,-0.04,0.61,0.82,0.42,-0.14,0.48,0.61
CatrinaCapurro,CatrinaCapurro.mp3,Pitch_CatrinaCapurro.mp3,Portada_CatrinaCapurro.jpg,gif_grande_CatrinaCapurro.gif,0.91,-0.26,0.18,-0.37,0.25,-0.09,0.22,0.99,0.25,0.81
FlorenciaFolch,FlorenciaFolch.mp3,Pitch_FlorenciaFolch.mp3,Portada_FlorenciaFolch.jpg,gif_grande_FlorenciaFolch.gif,0.56,-0.10,0.08,-0.41,0.41,-0.22,0.53,-0.61,0.18,-0.90
CarlaBordagaray,CarlaBordagaray.mp3,Pitch_CarlaBordagaray.mp3,Portada_CarlaBordagaray.jpg,gif_grande_CarlaBordagaray.gif,0.41,-0.49,0.96,-0.59,0.25,-0.85,0.49,0.53,0.22,-0.27
LucíaRodríguez,LucíaRodríguez.mp3,Pitch_LucíaRodríguez.mp3,Portada_LucíaRodríguez.jpg,gif_grande_LucíaRodríguez.gif,0.07,0.81,0.86,0.18,0.58,0.15,0.14,0.73,0.43,0.27
JavieraFarfán,JavieraFarfán.mp3,Pitch_JavieraFarfán.mp3,Portada_JavieraFarfán.jpg,gif_grande_JavieraFarfán.gif,0.84,-0.90,0.83,0.76,0.34,0.35,0.81,0.76,0.00,0.68
DanielMendez,DanielMendez.mp3,DanielMendez PITCH.mp3,Portada_DanielMendez.jpg,gif_grande_DanielMendez.gif,0.41,-0.35,0.45,-0.16,0.45,0.67,0.15,-0.89,0.22,0.11
DavidCancino,DavidCancino.mp3,Pitch_DavidCancino.mp3,Portada_DavidCancino.jpg,gif_grande_DavidCancino.gif,0.59,0.41,0.07,-0.10,0.69,-0.67,0.80,0.89,0.27,0.98
NohemiMendez,NohemiMendez.mp3,Pitch_NohemiMendez.mp3,Portada_NohemiMendez.jpg,gif_grande_NohemiMendez.gif,0.97,0.32,0.81,0.19,0.37,0.10,0.16,0.50,0.30,-0.44
RenéCarpio,RenéCarpio.mp3,Pitch_RenéCarpio.mp3,Portada_RenéCarpio.jpg,gif_grande_RenéCarpio.gif,0.81,0.94,-0.96,0.20,-0.44,0.85,0.82,0.47,0.56,-0.10
RenatoValdenegro,RenatoValdenegro.mp3,Pitch_RenatoValdenegro.mp3,Portada_RenatoValdenegro.jpg,gif_grande_RenatoValdenegro.gif,0.69,0.09,0.79,0.07,-0.10,0.61,-0.94,-0.12,0.72,-0.14
JuanGonzáles,JuanGonzáles.mp3,JuanGonzáles PITCH.mp3,Portada_JuanGonzáles.jpg,gif_grande_JuanGonzáles.gif,-0.04,0.61,0.82,0.42,-0.14,0.48,0.61,-0.26,0.18,0.99
MartinMuñoz,MartinMuñoz.mp3,Pitch_MartinMuñoz.mp3,Portada_MartinMuñoz.jpg,gif_grande_MartinMuñoz.gif,-0.37,0.25,-0.09,0.22,0.99,0.25,0.81,-0.10,0.08,-0.61
MaríaVillegas,MaríaVillegas.mp3,Pitch_MaríaVillegas.mp3,Portada_MaríaVillegas.jpg,gif_grande_MaríaVillegas.gif,-0.59,0.25,-0.85,0.49,0.53,0.22,-0.27,0.81,0.86,0.73
